acct,event_date,first_txn_date,last_txn_date,total_txns,days_since_last_txn,time_gap_category,account_lifespan
38894ef22b215c6a01d8f6cd893f42cb788aaa3109db08e691d205093947c74c,74,1,40,20,34,31-60_DAYS,40
705edb7ccd02c7ee986819e0a786e93b1e43a99aac83e0eef7da2621349585e6,53,2,4,5,49,31-60_DAYS,3
a5bd06cb8cb7963b67588617d8089170feaf504f5032c1d4dc1858f2dd622b9d,88,49,49,2,39,31-60_DAYS,1
8f26e457dcd038c94d38af38ed48641b4e5f2ac84fb44003805cfeb53b8c5def,64,22,25,5,39,31-60_DAYS,4
c6fec780530da55d0ed8b29515df4c85fddd3f6e83235c96113c1851d2cedbf5,55,18,23,10,32,31-60_DAYS,6
097c0dfff49aa60bcf9ad0ebdfa78767e4de38a820476d8f66724812d6180077,54,2,3,3,51,31-60_DAYS,2
249d07f4f915216c08cb37f70ecd5a3e5afdccacfbc40c7ed84c5f30b27b3e36,95,3,15,4,80,>60_DAYS,13
8df22d268ba0aafdb0cab7797811091fc2311b1defdc2ee60b7924867ab458c0,51,19,19,5,32,31-60_DAYS,1
d25752b5b07a19189be9b9cf47b790654670100689a989fa980fef1dddf350e7,117,1,64,13,53,31-60_DAYS,64
5fab9bc78015401f7cff8827778a8f4b1922cecfdf3bcf9349e5dce990879679,83,11,11,3,72,>60_DAYS,1
65fd1ec9cb3f53d238697e745c1fdd7acc9ffc52798c579adba561c8ea68af29,63,1,30,13,33,31-60_DAYS,30
ee2b7af074659da210982e1062b448e9b235a172d39226de5a18be69de9d1d01,88,3,3,1,85,>60_DAYS,1
5dcc88f9b153b5fe2b227153baeae050c6643ded6bd2bcd6db973bbf855422d9,82,10,24,9,58,31-60_DAYS,15
711bf3e1491cfbf1ad57315d2779547897ff3c0671f6156a2c4a01145be5127e,120,1,86,33,34,31-60_DAYS,86
be4a823c82475968d7044b3774a0f40b0b4ca86129d3a2be4045eb90c4196781,72,22,24,8,48,31-60_DAYS,3
152ba0778ce791ba434ef464dbc063585462231bdc140bceeefcd3ff18406597,113,78,79,4,34,31-60_DAYS,2
42600d2069623e531e0a019ca86f731c453dbe9eb8274f27dcc86efc148f5b75,107,4,65,13,42,31-60_DAYS,62
bd96eec214f23c3d68ffee7a58c94ea48d99b0e6fdbf472d5fddf05df5d1acd1,116,78,79,9,37,31-60_DAYS,2
1c872b96e8fc8d535b383c1d325ec4bbc26803d233ca6ca3ade69d8348b57bdd,120,29,72,6,48,31-60_DAYS,44
7e161c0f7bb5ade0dcfe8388a21b82cd4a774beaa3e3c732c17a2d7ced47d319,88,51,54,14,34,31-60_DAYS,4
4e9ac1f55a7ca59a7926ae15d66bbfadcfbd3c3c01e871bae21cf4c7b43e8c26,106,19,20,4,86,>60_DAYS,2
4a32c63680e396c16b218912c00178f09a6ea6902bfa7d68886610bdf4b90a1c,117,26,30,13,87,>60_DAYS,5
bfd5f6547979f50a34cdb41e027992433698ee99f3508fb86a4d2d9a1fc41241,89,53,54,3,35,31-60_DAYS,2
dffd1611962e3deb37632de10936d782f06137d76d64f67559e04df6d4ffa8c9,114,76,76,2,38,31-60_DAYS,1
b84a5e56ea7f4f3099ca9e216be6ed45e96b1d761193588d710c06a2678bc8cf,109,32,47,93,62,>60_DAYS,16
0531c63ab212124baae822e75bfcf00df7eff51f428804fb75defe1cb4c17026,92,8,23,6,69,>60_DAYS,16
54869cb448b49f038ee8472a0c19519b3d522ef4858ea3a4626552a84a4096df,120,73,74,2,46,31-60_DAYS,2
73964aaef9926bab63ffbf4b682fe47f65ca17802c81895e3d1f194df5df2560,70,2,27,13,43,31-60_DAYS,26
6c2491ab7edbc9e303a5a3e3e32c879ef5703ad974aaca6e2ec95ae05d2e5120,101,55,58,3,43,31-60_DAYS,4
5ca9095185ae9a83eb8f4b4549d658238b8f257d9400751774730f3eb9fc18e7,107,3,73,19,34,31-60_DAYS,71
96073ad99cb252ae74c6c0c00c89677e4471f53183fc7240fdef9929d69fc028,82,32,32,1,50,31-60_DAYS,1
9639caf8befce49e26cc9808251120d989e5f379c616365c10063ae9100251b3,79,9,9,7,70,>60_DAYS,1
